"ensembl_gene_id","gene_symbol","description","gene_biotype","chromosome","start","end"
"FBgn0035526","CG1316","RNA binding motif protein 45 [Source:MGI Symbol;Acc:MGI:2387367]","protein_coding","3L",4283851,4286865
"FBgn0035528","CG15012","","protein_coding","3L",4291208,4292246
"FBgn0035529","Fdx2","Ferredoxin 2","protein_coding","3L",4292482,4293432
"FBgn0035532","CG15014","THUMP domain containing 1 [Source:MGI Symbol;Acc:MGI:2444479]","protein_coding","3L",4321105,4322259
"FBgn0035533","Cip4","Cdc42-interacting protein 4","protein_coding","3L",4322491,4364102
"FBgn0035534","mRpS6","mitochondrial ribosomal protein S6","protein_coding","3L",4364550,4365243
"FBgn0035537","CG11342","BCDIN3 domain containing [Source:MGI Symbol;Acc:MGI:1922534]","protein_coding","3L",4366494,4367458
"FBgn0035538","DopEcR","Dopamine/Ecdysteroid receptor","protein_coding","3L",4367649,4380387
"FBgn0035539","slow","slowdown","protein_coding","3L",4384442,4403181
"FBgn0035540","Syx17","Syntaxin 17","protein_coding","3L",4403487,4405168
"FBgn0035541","CG15019","","protein_coding","3L",4405127,4406059
"FBgn0035542","TP53INP","Tumor protein p53 inducible nuclear protein","protein_coding","3L",4406943,4420648
"FBgn0035543","CG15020","","protein_coding","3L",4421662,4426621
"FBgn0035544","CG15021","","protein_coding","3L",4436721,4438311
"FBgn0035545","CG12607","","protein_coding","3L",4446573,4448072
"FBgn0035546","CG11345","","protein_coding","3L",4457177,4458163
"FBgn0035547","CG15022","","protein_coding","3L",4459193,4460317
"FBgn0035548","CG15023","","protein_coding","3L",4460622,4461504
"FBgn0035550","CG11349","","protein_coding","3L",4473068,4475095
"FBgn0035551","CG7465","","protein_coding","3L",4480283,4481487
"FBgn0035552","CG11350","","protein_coding","3L",4482809,4484370
"FBgn0035553","CG13722","","protein_coding","3L",4485159,4490963
"FBgn0035554","CG13721","","protein_coding","3L",4496883,4497777
"FBgn0035555","CG13720","","protein_coding","3L",4498856,4500500
"FBgn0035557","CG11353","","protein_coding","3L",4533170,4539270
"FBgn0035558","CG11357","","protein_coding","3L",4542051,4553457
"FBgn0035563","CG13716","","protein_coding","3L",4634436,4634789
"FBgn0035567","CG7514","","protein_coding","3L",4687587,4688774
"FBgn0035568","CG18418","","protein_coding","3L",4688929,4690070
"FBgn0035569","CG15876","","protein_coding","3L",4694205,4694845
"FBgn0035570","CG13712","","protein_coding","3L",4709209,4709890
"FBgn0035571","CG12493","","protein_coding","3L",4752393,4753738
"FBgn0035572","CG13711","","protein_coding","3L",4757883,4758708
"FBgn0035574","RhoGEF64C","Rho guanine nucleotide exchange factor at 64C","protein_coding","3L",4692783,4796253
"FBgn0035575","CG7509","","protein_coding","3L",4803077,4805274
"FBgn0035577","CG13708","","protein_coding","3L",4829092,4833591
"FBgn0035578","CG13707","","protein_coding","3L",4837791,4840108
"FBgn0035581","Dnah3","dynein, axonemal, heavy chain 3","protein_coding","3L",4861269,4895749
"FBgn0035582","CG13705","","protein_coding","3L",4896864,4898470
"FBgn0035583","hoka","hoka","protein_coding","3L",4898900,4900869
"FBgn0035584","CG17030","","protein_coding","3L",4980003,4980769
"FBgn0035585","ATPsynCF6L","ATP synthase, coupling factor 6-like","protein_coding","3L",5011444,5012133
"FBgn0035586","Fitm","Fat storage inducing transmembrane protein","protein_coding","3L",5144082,5146063
"FBgn0035587","Gdap1","Gdap1","protein_coding","3L",5141953,5144317
"FBgn0035588","Dhrs4","Dehydrogenase/reductase 4","protein_coding","3L",5140440,5141646
"FBgn0035589","CHMP2B","Charged multivesicular body protein 2b","protein_coding","3L",5139619,5140473
"FBgn0035590","Tcs5","Threonyl-carbamoyl synthesis 5","protein_coding","3L",5138652,5139395
"FBgn0035591","CG4611","","protein_coding","3L",5136376,5138679
"FBgn0035592","CG10674","WD repeat domain 83 opposite strand [Source:MGI Symbol;Acc:MGI:3041257]","protein_coding","3L",5135748,5136292
"FBgn0035593","Yod1","Yod1 deubiquitinase","protein_coding","3L",5133871,5135670
"FBgn0035594","CG4597","","protein_coding","3L",5129499,5130240
"FBgn0035598","CG4669","","protein_coding","3L",5234483,5236631
"FBgn0035600","Cyt-c1","Cytochrome c1","protein_coding","3L",5360211,5362798
"FBgn0035601","Uev1A","Ubiquitin-conjugating enzyme variant 1A","protein_coding","3L",5362884,5366225
"FBgn0035603","Pfdn4","Prefoldin 4","protein_coding","3L",5367341,5368008
"FBgn0035604","Ir64a","Ionotropic receptor 64a","protein_coding","3L",5378786,5382821
"FBgn0035607","CG4835","","protein_coding","3L",5479790,5483663
"FBgn0035608","blanks","blanks","protein_coding","3L",5497523,5498958
"FBgn0035610","Lkr","Leucokinin receptor","protein_coding","3L",5512421,5529341
"FBgn0035611","CG13285","","protein_coding","3L",5533968,5535759
"FBgn0035612","frm","farmer","protein_coding","3L",5538411,5551159
"FBgn0035617","l(3)psg2","lethal (3) persistent salivary gland 2","protein_coding","3L",5583669,5590390
"FBgn0035619","Alp10","Alkaline phosphatase 10","protein_coding","3L",5592741,5595272
"FBgn0035620","Alp9","Alkaline phosphatase 9","protein_coding","3L",5595542,5597422
"FBgn0035621","CG10591","","protein_coding","3L",5598557,5599692
"FBgn0035622","TM9SF3","Transmembrane 9 superfamily protein member 3","protein_coding","3L",5601096,5603979
"FBgn0035623","mthl2","methuselah-like 2","protein_coding","3L",5604790,5607190
"FBgn0035624","Eaf6","Esa1-associated factor 6","protein_coding","3L",5607162,5608300
"FBgn0035625","Blimp-1","Blimp-1","protein_coding","3L",5630983,5652094
"FBgn0035626","lin-28","lin-28","protein_coding","3L",5654681,5657384
"FBgn0035627","Sse","Separase","protein_coding","3L",5659700,5662247
"FBgn0035630","CG10576","","protein_coding","3L",5761963,5765702
"FBgn0035631","Txl","Thioredoxin-like","protein_coding","3L",5765846,5767084
"FBgn0035632","Ppat-Dpck","Bifunctional Phosphopantetheine adenylyltransferase - Dephospho-CoA kinase","protein_coding","3L",5767017,5768794
"FBgn0035636","Cralbp","Cellular retinaldehyde binding protein","protein_coding","3L",5783215,5786718
"FBgn0035638","Tektin-C","Tektin C","protein_coding","3L",5794405,5796543
"FBgn0035639","kri","krishah","protein_coding","3L",5810973,5812228
"FBgn0035640","mad2","mad2","protein_coding","3L",5812135,5813093
"FBgn0035641","CG5568","","protein_coding","3L",5871501,5873518
"FBgn0035642","CG18586","","protein_coding","3L",5873311,5875466
"FBgn0035643","CG13287","","protein_coding","3L",5882304,5884090
"FBgn0035644","PolE2","DNA polymerase epsilon subunit 2","protein_coding","3L",5895691,5897435
"FBgn0035645","CG5592","","protein_coding","3L",5897638,5899395
"FBgn0035647","CG10486","","protein_coding","3L",5904211,5906699
"FBgn0035648","CG13288","","protein_coding","3L",5907381,5917540
"FBgn0035649","PXo","P[[i]]-sensitive XPR1 orthologue","protein_coding","3L",5917905,5921316
"FBgn0035656","CG10479","","protein_coding","3L",5967545,5976007
"FBgn0035657","alphaKap4","alpha Karyopherin-4","protein_coding","3L",6009446,6011021
"FBgn0035661","CG10477","","protein_coding","3L",6033199,6034611
"FBgn0035663","CG6462","","protein_coding","3L",6037111,6038188
"FBgn0035665","Jon65Aiii","Jonah 65Aiii","protein_coding","3L",6050757,6051690
"FBgn0035666","Jon65Aii","Jonah 65Aii","protein_coding","3L",6052321,6053215
"FBgn0035667","Jon65Ai","Jonah 65Ai","protein_coding","3L",6053493,6054443
"FBgn0035669","CG6592","","protein_coding","3L",6059658,6061378
"FBgn0035670","CG10472","","protein_coding","3L",6061372,6062910
"FBgn0035673","CG6602","","protein_coding","3L",6072139,6073539
"FBgn0035674","CG13295","","protein_coding","3L",6073490,6075245
"FBgn0035675","CG6610","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:MGI Symbol;Acc:MGI:1913623]","protein_coding","3L",6075536,6076258
"FBgn0035676","ssp6","short spindle 6","protein_coding","3L",6076722,6082491
"FBgn0035677","CG13293","suppressor of cancer cell invasion [Source:MGI Symbol;Acc:MGI:2443716]","protein_coding","3L",6082883,6092188
"FBgn0035678","CG10469","","protein_coding","3L",6092188,6093313
"FBgn0035679","CG10467","","protein_coding","3L",6093204,6094747
"FBgn0035685","CG13297","","protein_coding","3L",6156592,6157377
"FBgn0035686","Cpr65Az","Cuticular protein 65Az","protein_coding","3L",6160814,6161589
"FBgn0035687","Prdm13","PR/SET domain 13","protein_coding","3L",6163127,6164682
"FBgn0035688","fmt","fiery mountain","protein_coding","3L",6164916,6173880
"FBgn0035689","CG7376","","protein_coding","3L",6174248,6178941
"FBgn0035690","CG10274","","protein_coding","3L",6178677,6181829
"FBgn0035691","CG7386","","protein_coding","3L",6189745,6192049
"FBgn0035692","Sf3b6","Splicing factor 3b subunit 6","protein_coding","3L",6192124,6193179
"FBgn0035693","CG8219","transportin 1 [Source:MGI Symbol;Acc:MGI:2681523]","protein_coding","3L",6200473,6203776
"FBgn0035694","CG13299","","protein_coding","3L",6231805,6232361
"FBgn0035695","CG10226","","protein_coding","3L",6234323,6240068
"FBgn0035696","Best2","Bestrophin 2","protein_coding","3L",6245933,6256665
"FBgn0035697","CG10163","","protein_coding","3L",6257423,6258760
"FBgn0035699","CG13300","","protein_coding","3L",6329324,6352390
"FBgn0035702","CG10147","","protein_coding","3L",6486167,6488424
"FBgn0035703","Bulli","Bulli","protein_coding","3L",6488681,6491210
"FBgn0035704","Vps8","Vacuolar protein sorting 8","protein_coding","3L",6491230,6495297
"FBgn0035708","axed","axundead","protein_coding","3L",6609325,6619113
"FBgn0035709","eIF4E4","eukaryotic translation initiation factor 4E4","protein_coding","3L",6664224,6665641
"FBgn0035710","SP1173","SP1173","protein_coding","3L",6689327,6703521
"FBgn0035711","CG8519","","protein_coding","3L",6704860,6709000
"FBgn0035713","velo","veloren","protein_coding","3L",6744426,6752752
"FBgn0035714","Sbds","SBDS ribosome maturation factor","protein_coding","3L",6752913,6754029
"FBgn0035715","Ist1","increased sodium tolerance 1 homolog (yeast) [Source:MGI Symbol;Acc:MGI:1919205]","protein_coding","3L",6754017,6756497
"FBgn0035718","CG14820","","protein_coding","3L",6932926,6934824
"FBgn0035719","tow","target of wingless","protein_coding","3L",6942856,6949313
"FBgn0035720","CG10077","DEAD box helicase 17 [Source:MGI Symbol;Acc:MGI:1914290]","protein_coding","3L",6949491,6955904
"FBgn0035721","CG9948","","protein_coding","3L",6955991,6957440
"FBgn0035722","Uqcc1","Ubiquinol-cytochrome c reductase complex assembly factor 1","protein_coding","3L",6956946,6958108
"FBgn0035724","CG10064","cilia and flagella associated protein 52 [Source:MGI Symbol;Acc:MGI:1919110]","protein_coding","3L",6965260,6967897
"FBgn0035725","Mis12","Mis12","protein_coding","3L",6968035,6969048
"FBgn0035726","CG9953","","protein_coding","3L",6969658,6971666
"FBgn0035727","CG10063","","protein_coding","3L",6971579,6972467
"FBgn0035730","CG17744","","protein_coding","3L",7025801,7026794
"FBgn0035733","CG8641","","protein_coding","3L",7058930,7077462
"FBgn0035734","CG14823","","protein_coding","3L",7066314,7069463
"FBgn0035735","Cpr65Ea","Cuticular protein 65Ea","protein_coding","3L",7086003,7086608
"FBgn0035736","Cpr65Eb","Cuticular protein 65Eb","protein_coding","3L",7087713,7088787
"FBgn0035737","Cpr65Ec","Cuticular protein 65Ec","protein_coding","3L",7093204,7093841
"FBgn0035741","BBS1","Bardet-Biedl syndrome 1","protein_coding","3L",7125905,7128118
"FBgn0035742","Acbp4","Acyl-CoA binding protein 4","protein_coding","3L",7127913,7128264
"FBgn0035743","Acbp6","Acyl-CoA binding protein 6","protein_coding","3L",7128903,7129673
"FBgn0035750","CG14826","","protein_coding","3L",7234512,7235965
"FBgn0035751","CG14829","","protein_coding","3L",7236800,7238122
"FBgn0035753","RpL18","Ribosomal protein L18","protein_coding","3L",7240203,7241351
"FBgn0035754","MED4","Mediator complex subunit 4","protein_coding","3L",7249529,7250527
"FBgn0035755","CG14830","","protein_coding","3L",7250718,7263920
"FBgn0035756","unc-13-4A","unc-13-4A","protein_coding","3L",7266192,7312896
"FBgn0035760","CG8607","","protein_coding","3L",7320068,7321211
"FBgn0035761","RhoGEF4","Rho guanine nucleotide exchange factor 4","protein_coding","3L",7321099,7323411
"FBgn0035762","Rint1","RAD50 interactor 1","protein_coding","3L",7323619,7326255
"FBgn0035763","mrva","minerva","protein_coding","3L",7326273,7328842
"FBgn0035766","eco","Establishment of cohesion","protein_coding","3L",7335442,7339340
"FBgn0035767","Cln7","Cln7","protein_coding","3L",7341884,7345183
"FBgn0035768","CG14834","","protein_coding","3L",7345698,7347123
"FBgn0035769","CTCF","CTCF","protein_coding","3L",7353578,7356713
"FBgn0035770","pst","pastrel","protein_coding","3L",7357275,7360263
"FBgn0035771","Sec63","Secretory 63","protein_coding","3L",7360561,7364366
"FBgn0035772","Sh3beta","Sh3beta","protein_coding","3L",7364584,7369260
"FBgn0035776","CG8564","","protein_coding","3L",7385648,7387914
"FBgn0035777","CG8563","","protein_coding","3L",7390742,7396013
"FBgn0035779","CG8562","","protein_coding","3L",7398285,7399912
"FBgn0035780","CG18417","","protein_coding","3L",7400070,7401671
"FBgn0035781","CG8560","","protein_coding","3L",7402332,7404181
"FBgn0035782","CG14835","","protein_coding","3L",7436808,7437466
"FBgn0035785","ppk26","pickpocket 26","protein_coding","3L",7456149,7458608
"FBgn0035786","Tsp66A","Tetraspanin 66A","protein_coding","3L",7465509,7468808
"FBgn0035787","CG8543","","protein_coding","3L",7469502,7470302
"FBgn0035788","CG8541","","protein_coding","3L",7471559,7472514
"FBgn0035789","mthl6","methuselah-like 6","protein_coding","3L",7485967,7487918
"FBgn0035790","Cyp316a1","Cytochrome P450 316a1","protein_coding","3L",7491864,7493484
"FBgn0035791","CG8539","","protein_coding","3L",7497211,7498831
"FBgn0035792","CG7548","","protein_coding","3L",7505540,7506217
"FBgn0035793","CG7546","","protein_coding","3L",7510986,7517316
"FBgn0035795","CG16998","","protein_coding","3L",7539060,7539836
"FBgn0035797","CG14837","","protein_coding","3L",7555780,7560037
"FBgn0035798","frac","faulty attraction","protein_coding","3L",7562610,7569499
"FBgn0035799","mmm","missing minor mitochondria","protein_coding","3L",7583454,7587248
"FBgn0035800","t-Grip84","testis-specific gamma-tubulin ring protein 84","protein_coding","3L",7588608,7590998
"FBgn0035802","Pura","Puratrophin-1-like","protein_coding","3L",7593091,7639573
"FBgn0035805","CG7506","","protein_coding","3L",7640798,7641648
"FBgn0035806","PGRP-SD","Peptidoglycan recognition protein SD","protein_coding","3L",7651180,7651900
"FBgn0035807","CG7492","","protein_coding","3L",7651866,7654752
"FBgn0035811","Mcad","Medium-chain acyl-CoA dehydrogenase","protein_coding","3L",7719350,7721472
"FBgn0035812","CG7457","","protein_coding","3L",7719899,7726473
"FBgn0035813","CG8492","","protein_coding","3L",7727804,7732191
"FBgn0035815","Snmp2","Sensory neuron membrane protein 2","protein_coding","3L",7733250,7743041
"FBgn0035816","CG13685","","protein_coding","3L",7747344,7750552
"FBgn0035817","CG7409","","protein_coding","3L",7754409,7755168
"FBgn0035823","eIF4E5","eukaryotic translation initiation factor 4E5","protein_coding","3L",7894880,7896009
"FBgn0035824","CG8281","","protein_coding","3L",7912463,7913763
"FBgn0035825","Tmem43","Transmembrane protein 43","protein_coding","3L",7913664,7915120
"FBgn0035827","Srp9","Signal recognition particle 9","protein_coding","3L",7936373,7937258
"FBgn0035829","HP4","Heterochromatin protein 4","protein_coding","3L",7975438,7976154
"FBgn0035830","CG8209","UBX domain protein 1 [Source:MGI Symbol;Acc:MGI:1289301]","protein_coding","3L",7976406,7977849
"FBgn0035831","Pop4","POP4 ribonuclease P/MRP subunit","protein_coding","3L",7977805,7978650
"FBgn0035833","CG7565","","protein_coding","3L",8087635,8091786
"FBgn0035838","ldbr","lariat debranching enzyme","protein_coding","3L",8121827,8123615
"FBgn0035839","CG7550","2-aminoethanethiol dioxygenase [Source:MGI Symbol;Acc:MGI:2685083]","protein_coding","3L",8123612,8124531
"FBgn0035842","Setx","Senataxin","protein_coding","3L",8131429,8137498
"FBgn0035844","CG13676","","protein_coding","3L",8141868,8151813
"FBgn0035845","CG13675","","protein_coding","3L",8160315,8165518
"FBgn0035847","mthl7","methuselah-like 7","protein_coding","3L",8178675,8180514
"FBgn0035848","Uxs","UDP-xylose synthase","protein_coding","3L",8180923,8183369
"FBgn0035849","ERR","estrogen-related receptor","protein_coding","3L",8183361,8186671
"FBgn0035850","Atg18a","Autophagy-related 18a","protein_coding","3L",8186857,8191118
"FBgn0035851","MED24","Mediator complex subunit 24","protein_coding","3L",8191270,8196573
"FBgn0035852","CG7387","","protein_coding","3L",8191522,8193116
"FBgn0035853","UbcE2M","NEDD8-conjugating enzyme UbcE2M","protein_coding","3L",8195847,8197987
"FBgn0035854","Dhps","Deoxyhypusine synthase","protein_coding","3L",8198207,8199491
"FBgn0035855","CG7366","","protein_coding","3L",8201078,8202417
"FBgn0035856","CG13679","","protein_coding","3L",8202792,8203345
"FBgn0035857","CG8006","","protein_coding","3L",8211890,8213622
"FBgn0035858","CG13674","","protein_coding","3L",8218232,8218983
"FBgn0035859","CG13678","","protein_coding","3L",8222141,8222953
"FBgn0035861","CG7213","","protein_coding","3L",8231814,8240601
"FBgn0035865","CG7201","","protein_coding","3L",8290286,8295327
"FBgn0035866","Arl5","ADP-ribosylation factor-like 5","protein_coding","3L",8298501,8299839
"FBgn0035867","CG13671","","protein_coding","3L",8300064,8302341
"FBgn0035868","CG7194","","protein_coding","3L",8302364,8304059
"FBgn0035870","Gr66a","Gustatory receptor 66a","protein_coding","3L",8305336,8306980
"FBgn0035871","BI-1","Bax Inhibitor-1","protein_coding","3L",8307145,8308941
"FBgn0035872","Cpsf6","Cleavage and polyadenylation specific factor 6","protein_coding","3L",8310493,8315502
"FBgn0035873","CG13670","","protein_coding","3L",8320763,8322280
"FBgn0035875","Cpr66Cb","Cuticular protein 66Cb","protein_coding","3L",8336672,8338595
"FBgn0035876","Pex2","Peroxin 2","protein_coding","3L",8339051,8340276
"FBgn0035877","CG7083","","protein_coding","3L",8340785,8342876
"FBgn0035878","CG7182","heat shock protein 14 [Source:MGI Symbol;Acc:MGI:1354164]","protein_coding","3L",8344421,8346382
"FBgn0035879","GAPcenA","GTPase activating protein and centrosome-associated","protein_coding","3L",8346561,8352279
"FBgn0035880","Culd","CUB and LDLa domain","protein_coding","3L",8352355,8356296
"FBgn0035886","Jon66Ci","Jonah 66Ci","protein_coding","3L",8391540,8392377
"FBgn0035887","Jon66Cii","Jonah 66Cii","protein_coding","3L",8392820,8393649
"FBgn0035888","CG7120","","protein_coding","3L",8396000,8402295
"FBgn0035889","mkg-p","monkey king protein","protein_coding","3L",8402168,8405277
"FBgn0035890","CG13667","NADPH dependent diflavin oxidoreductase 1 [Source:MGI Symbol;Acc:MGI:1926047]","protein_coding","3L",8405454,8407354
"FBgn0035896","CG6983","adipose secreted signaling protein [Source:MGI Symbol;Acc:MGI:1914576]","protein_coding","3L",8443042,8449377
"FBgn0035900","ZC3H3","ZC3H3","protein_coding","3L",8507469,8509763
"FBgn0035901","Pus7","Pseudouridine synthase 7","protein_coding","3L",8510003,8513007
"FBgn0035902","CG6683","","protein_coding","3L",8513874,8514921
"FBgn0035903","CG6765","","protein_coding","3L",8512767,8518738
"FBgn0035904","GstO3","Glutathione S transferase O3","protein_coding","3L",8518885,8520295
"FBgn0035906","GstO2","Glutathione S transferase O2","protein_coding","3L",8521429,8523501
"FBgn0035907","GstO1","Glutathione S transferase O1","protein_coding","3L",8523742,8524866
"FBgn0035909","ergic53","ergic53","protein_coding","3L",8534977,8538013
"FBgn0035911","CG6638","isovaleryl coenzyme A dehydrogenase [Source:MGI Symbol;Acc:MGI:1929242]","protein_coding","3L",8574407,8576078
"FBgn0035914","CG6282","","protein_coding","3L",8604657,8617074
"FBgn0035915","S-Lap1","Sperm-Leucylaminopeptidase 1","protein_coding","3L",8617235,8619474
"FBgn0035916","GAPsec","GTPase activating protein, SECIS-dependent read-through","protein_coding","3L",8622039,8623901
"FBgn0035917","Zasp66","Z band alternatively spliced PDZ-motif protein 66","protein_coding","3L",8624371,8638813
"FBgn0035918","Cdc6","Cell division cycle 6","protein_coding","3L",8631509,8634069
"FBgn0035921","CG13305","","protein_coding","3L",8644916,8646822
"FBgn0035922","Pex7","Peroxin 7","protein_coding","3L",8647145,8651011
"FBgn0035923","CG6511","erythroid differentiation regulatory factor 1 [Source:MGI Symbol;Acc:MGI:1919831]","protein_coding","3L",8721324,8726108
"FBgn0035924","CG6576","","protein_coding","3L",8755989,8757167
"FBgn0035926","Acbp5","Acyl-CoA binding protein 5","protein_coding","3L",8788144,8788545
"FBgn0035928","CG13310","","protein_coding","3L",8798730,8800532
"FBgn0035929","CG13311","","protein_coding","3L",8801540,8802164
"FBgn0035931","CG13312","","protein_coding","3L",8805811,8807213
"FBgn0035932","CG13308","","protein_coding","3L",8808544,8809307
"FBgn0035933","CG13309","","protein_coding","3L",8810395,8811265
"FBgn0035934","TrpA1","Transient receptor potential cation channel A1","protein_coding","3L",8894404,8905200
"FBgn0035936","Tsp66E","Tetraspanin 66E","protein_coding","3L",8912499,8932065
"FBgn0035941","CG13313","","protein_coding","3L",8958857,8960921
"FBgn0035942","ValRS-m","Valyl-tRNA synthetase, mitochondrial","protein_coding","3L",8961274,8964769
"FBgn0035943","CG5653","","protein_coding","3L",8964912,8966374
"FBgn0035944","CG5021","","protein_coding","3L",8966829,8968171
"FBgn0035945","CG5026","","protein_coding","3L",8968528,8971752
"FBgn0035947","Srp68","Signal recognition particle 68","protein_coding","3L",8975046,8977401
"FBgn0035948","CG5644","","protein_coding","3L",8977395,8979880
"FBgn0035949","CG13314","","protein_coding","3L",8981795,8983212
"FBgn0035951","CG5068","protein phosphatase methylesterase 1 [Source:MGI Symbol;Acc:MGI:1919840]","protein_coding","3L",8986710,8989135
"FBgn0035952","CG5280","","protein_coding","3L",8989069,8990228
"FBgn0035953","CG5087","ubiquitin protein ligase E3B [Source:MGI Symbol;Acc:MGI:1891295]","protein_coding","3L",8998184,9002566
"FBgn0035954","Doc3","Dorsocross3","protein_coding","3L",9005196,9007249
"FBgn0035955","CG5194","","protein_coding","3L",9008624,9009838
"FBgn0035956","Doc2","Dorsocross2","protein_coding","3L",9012686,9019246
"FBgn0035957","Argk2","Arginine kinase 2","protein_coding","3L",9047439,9048724
"FBgn0035959","CG4911","","protein_coding","3L",9067195,9072731
"FBgn0035960","CG4942","cytochrome c oxidase assembly protein 18 [Source:MGI Symbol;Acc:MGI:2448532]","protein_coding","3L",9073105,9074467
"FBgn0035964","Dhpr","Dihydropteridine reductase","protein_coding","3L",9134560,9135916
"FBgn0035965","Use1","Unconventional SNARE in the ER 1","protein_coding","3L",9135709,9137181
"FBgn0035968","Slc45-1","Solute carrier family 45 member 1","protein_coding","3L",9203065,9208853
"FBgn0035969","CG4476","","protein_coding","3L",9211880,9215256
"FBgn0035970","CG4483","","protein_coding","3L",9235150,9236648
"FBgn0035971","CG4477","","protein_coding","3L",9250225,9251338
"FBgn0035975","PGRP-LA","Peptidoglycan recognition protein LA","protein_coding","3L",9334332,9338336
"FBgn0035976","PGRP-LC","Peptidoglycan recognition protein LC","protein_coding","3L",9338810,9348336
"FBgn0035977","PGRP-LF","Peptidoglycan recognition protein LF","protein_coding","3L",9349609,9351489
"FBgn0035978","UGP","UDP-glucose pyrophosphorylase","protein_coding","3L",9350867,9358935
"FBgn0035980","mRRF1","mitochondrial ribosome recycling factor 1","protein_coding","3L",9364350,9365240
"FBgn0035981","CG4452","","protein_coding","3L",9367377,9370300
"FBgn0035982","CG4461","","protein_coding","3L",9375430,9376293
"FBgn0035983","CG4080","","protein_coding","3L",9386827,9399227
"FBgn0035985","Cpr67B","Cuticular protein 67B","protein_coding","3L",9404797,9406174
"FBgn0035986","CG4022","","protein_coding","3L",9406179,9410832
"FBgn0035988","CG3982","","protein_coding","3L",9415755,9417388
"FBgn0035989","Atat","alpha-tubulin acetylase","protein_coding","3L",9413596,9426758
"FBgn0035993","Nf-YA","Nuclear factor Y-box A","protein_coding","3L",9440056,9442267
"FBgn0035995","CG3529","","protein_coding","3L",9446864,9450785
"FBgn0035996","CG3448","","protein_coding","3L",9450545,9451572
"FBgn0035997","phol","pleiohomeotic like","protein_coding","3L",9452803,9456281
"FBgn0035998","CG3437","","protein_coding","3L",9456342,9457669
"FBgn0035999","CG3552","GDP-D-glucose phosphorylase 1 [Source:MGI Symbol;Acc:MGI:2443429]","protein_coding","3L",9456318,9459370
"FBgn0036000","CG3434","queuine tRNA-ribosyltransferase accessory subunit 2 [Source:MGI Symbol;Acc:MGI:1922194]","protein_coding","3L",9459369,9460799
"FBgn0036004","Jarid2","Jumonji, AT rich interactive domain 2","protein_coding","3L",9477038,9486530
"FBgn0036005","pall","pallbearer","protein_coding","3L",9486448,9487790
"FBgn0036007","path","pathetic","protein_coding","3L",9494555,9505328
"FBgn0036008","CG3408","","protein_coding","3L",9506818,9509583
"FBgn0036009","Or67a","Odorant receptor 67a","protein_coding","3L",9529067,9531386
"FBgn0036010","Ir67a","Ionotropic receptor 67a","protein_coding","3L",9542245,9543999
"FBgn0036014","CG3222","","protein_coding","3L",9598988,9600341
"FBgn0036015","CG3088","","protein_coding","3L",9600490,9601325
"FBgn0036016","CG3306","","protein_coding","3L",9601523,9602548
"FBgn0036018","CG3335","RNA binding motif protein 19 [Source:MGI Symbol;Acc:MGI:1921361]","protein_coding","3L",9624237,9627321
"FBgn0036019","Or67b","Odorant receptor 67b","protein_coding","3L",9627316,9629193
"FBgn0036020","Cyp40","Cyclophilin 40","protein_coding","3L",9628676,9631795
"FBgn0036022","CG8329","","protein_coding","3L",9638112,9639021
"FBgn0036023","CG18179","","protein_coding","3L",9639271,9640140
"FBgn0036024","CG18180","","protein_coding","3L",9641013,9641913
"FBgn0036028","CG16717","","protein_coding","3L",9679201,9681060
"FBgn0036029","CG16719","","protein_coding","3L",9685171,9686250
"FBgn0036030","Prps","Phosphoribosyl pyrophosphate synthetase","protein_coding","3L",9683579,9696700
"FBgn0036031","CG6761","","protein_coding","3L",9700517,9703595
"FBgn0036032","CG16711","","protein_coding","3L",9704331,9710329
"FBgn0036035","CG18178","","protein_coding","3L",9717786,9719144
"FBgn0036036","CG14174","","protein_coding","3L",9719328,9720464
"FBgn0036038","defl","deflated","protein_coding","3L",9723423,9726706
"FBgn0036039","Naa60","N(alpha)-acetyltransferase 60","protein_coding","3L",9726895,9729650
"FBgn0036040","CG6749","","protein_coding","3L",9731238,9733807
"FBgn0036043","Ae2","Anion exchanger 2","protein_coding","3L",9763544,9786466
"FBgn0036044","Zasp67","Z band alternatively spliced PDZ-motif protein 67","protein_coding","3L",9787933,9797687
"FBgn0036046","Ilp2","Insulin-like peptide 2","protein_coding","3L",9799698,9800440
"FBgn0036052","CG10809","","protein_coding","3L",9857383,9859889
"FBgn0036053","iPLA2-VIA","calcium-independent phospholipase A2 VIA","protein_coding","3L",9860217,9864349
"FBgn0036056","CG6709","","protein_coding","3L",9893188,9894743
"FBgn0036057","Hez","Hezron","protein_coding","3L",9893188,9894743
"FBgn0036058","CG6707","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1 [Source:MGI Symbol;Acc:MGI:2448501]","protein_coding","3L",9894807,9898575
"FBgn0036059","nudE","nudE","protein_coding","3L",9899241,9903031
"FBgn0036062","CG6685","","protein_coding","3L",9966603,9968317
"FBgn0036063","CG6674","","protein_coding","3L",9971151,9972054
"FBgn0036066","CG14160","","protein_coding","3L",10086747,10089400
"FBgn0036070","CG8072","","protein_coding","3L",10151827,10152984
"FBgn0036072","CG6628","","protein_coding","3L",10165809,10167023
"FBgn0036075","CG8065","","protein_coding","3L",10215665,10216980
